company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
ALLY FINANCIAL,1179.0,1137.0,1322.0,492.0,513.0,496.0,1919.0,2014.0,Ally Financial Inc.,14.416,14.703,17.05,12.859,48.443,36.709,34.079,30.621,166.228,167.462,165.3,178.967,7.376,7.638,8.912,9.342,-3.769,8.427,-11.098,-17.263,4.36,2.89,8.28,,180.644,182.165,182.35,191.826,1.715,1.085,3.06,1.714,USD,,11600.0,,FALSE,Finance&Investments
LOEWS CORPORATION,1313.0,1466.0,991.0,520.0,540.0,390.0,1969.0,,Loews Corporation,21.93,19.181,19.175,15.478,30.575,27.932,26.832,22.763,60.313,61.055,62.451,60.016,14.931,13.794,14.117,14.044,-0.671,-1.414,-1.187,-2.347,3.08,-3.32,6.08,4.17,82.243,80.236,81.626,75.494,0.932,-0.931,1.578,1.012,USD,,12050.0,,FALSE,Resources&Materials
BATH & BODY WORKS INC,1309.0,1194.0,2721.0,519.0,607.0,893.0,1963.0,,"Bath & Body Works, Inc.",,-1.495,-0.661,-1.517,,3.988,5.704,3.336,,11.62,12.232,7.543,,12.914,11.846891,7.881513,,-0.48,-0.219,-0.259,,-1.33,3.04,4.96,,10.125,11.571,6.026,,-0.366,0.84445,1.33348,USD,,8800.0,,FALSE,Retail&ECommerce
BIOMARIN PHARMACEUTICAL,1308.0,1365.0,1035.0,518.0,444.0,407.0,1997.0,1999.0,BioMarin Pharmaceutical Inc.,3.122381,4.106002,4.27074,4.603156,3.608619,5.181147,5.349817,5.686175,1.567658,1.742018,1.732585,1.771918,1.704048,1.860455,1.846275,2.096039,-0.031026,-0.053621,-0.366313,-0.020029,-0.13,4.72,-0.35,0.76,4.690039,5.84802,6.003325,6.375074,-0.023848,0.8591,-0.06408,0.141561,USD,,3082.0,,FALSE,Healthcare
NORTONLIFELOCK,1307.0,1366.0,976.0,517.0,542.0,384.0,1982.0,,Gen Digital Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,FALSE,IT&Software
J. M. SMUCKER COMPANY,1302.0,1548.0,1307.0,515.0,515.0,491.0,1897.0,,The J. M. Smucker Company,,8.1909,8.1248,8.1401,,13.5642,11.6416,12.4507,,8.7795,8.1594,7.9149,,7.801,8.0027,7.9989,,-0.2715,0.3111,-0.3555,,6.84,7.79,5.84,,16.9704,16.2842,16.055,,0.7795,0.8763,0.6317,USD,,6700.0,,FALSE,Food&Restaurants
EVERGY,1306.0,1345.0,1057.0,516.0,534.0,413.0,1909.0,2018.0,"Evergy, Inc.",8.5453,8.7185,9.2417,9.4933,17.3374,17.9243,18.5423,19.3894,17.4306,18.3963,19.2788,19.9966,5.1478,4.9134,5.5867,5.8591,-0.4582,-1.5337,-1.9138,-2.1522,2.8,2.72,3.84,,25.9759,27.1148,28.5205,29.4899,0.6699,0.6183,0.8797,0.7527,USD,,4512.0,,FALSE,Resources&Materials
TIFFANY & CO,1285.0,1330.0,974.0,514.0,443.0,383.0,1837.0,1987.0,Total Collectables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14100.0,['NFT&Gaming'],TRUE,Retail&ECommerce
"OLAPLEX HOLDINGS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Retail&ECommerce
RINGCENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,IT&Software
