company_name,status,Industry,use_cases_1,use_cases_2
S&P GLOBAL,TRUE,Finance&Investments,Finance&Tokens,
CROWN CASTLE INTERNATIONAL CORPORATION,TRUE,Estate,Finance&Tokens,
SHERWIN-WILLIAMS COMPANY,FALSE,Resources&Materials,,
MODERNA,FALSE,Healthcare,,
TRUIST FINANCIAL CORPORATION,TRUE,Finance&Investments,Payments,
ANALOG DEVICES,FALSE,Resources&Materials,,
THE TJX COMPANIES,FALSE,Retail&ECommerce,,
GILEAD SCIENCES,FALSE,Healthcare,,
CARGILL,TRUE,Food&Restaurants,Logistics&Supply_chain,
BOSTON SCIENTIFIC CORPORATION,FALSE,Healthcare,,
GENERAL MOTORS COMPANY,FALSE,Transport&Aerospace,,
DOMINION ENERGY,FALSE,Resources&Materials,,
EQUINIX,TRUE,Estate,Smart_contracts,Data_managment&Security
EDWARDS LIFESCIENCES CORPORATION,FALSE,Healthcare,,
CSX CORPORATION,FALSE,Logistics&Transportation,,
U.S. BANCORP,FALSE,Finance&Investments,,
ALTRIA GROUP,FALSE,Food&Restaurants,,
MONDELEZ INTERNATIONAL,FALSE,Food&Restaurants,,
SNOWFLAKE,TRUE,IT&Software,Data_managment&Security,
THE PNC FINANCIAL SERVICES GROUP,TRUE,Finance&Investments,Data_managment&Security,
FORD MOTOR COMPANY,FALSE,Transport&Aerospace,,
CHARTER COMMUNICATIONS,FALSE,Communication&Entertainment,,
LOCKHEED MARTIN CORPORATION,TRUE,Transport&Aerospace,Cybersecurity,
LAM RESEARCH CORPORATION,FALSE,Technology&Electronics,,
STRYKER CORPORATION,FALSE,Healthcare,,
ZOETIS,FALSE,Healthcare,,
BOOKING HOLDINGS,TRUE,Retail&ECommerce,Payments,
TARGET CORPORATION,TRUE,Retail&ECommerce,Logistics&Supply_chain,
DEERE & COMPANY,TRUE,Machinery&Manufacture,Logistics&Supply_chain,
PROLOGIS,FALSE,Estate,,
INTUITIVE SURGICAL,FALSE,Healthcare,,
GENERAL ELECTRIC COMPANY,TRUE,Transport&Aerospace,Logistics&Supply_chain,
IBM,TRUE,IT&Software,Research&Consulting,
CATERPILLAR,FALSE,Machinery&Manufacture,,
SERVICENOW,FALSE,IT&Software,,
EXXON MOBIL CORPORATION,FALSE,Resources&Materials,,
AMERICAN TOWER CORPORATION (REIT),FALSE,Estate,,
WALMART,TRUE,IT&Software,Logistics&Supply_chain,
THE WALT DISNEY COMPANY,TRUE,Finance&Investments,NFT&Gaming,
CISCO SYSTEMS,TRUE,IT&Software,Logistics&Supply_chain,
PFIZER,FALSE,Healthcare,,
MASTERCARD,TRUE,Finance&Investments,Payments,
PROCTER & GAMBLE COMPANY,FALSE,Retail&ECommerce,,
BANK OF AMERICA CORPORATION,TRUE,Finance&Investments,Payments,
UNITEDHEALTH GROUP,FALSE,Healthcare,,
HOME DEPOT,FALSE,Retail&ECommerce,,
BLACKROCK,TRUE,Finance&Investments,Finance&Tokens,
T-MOBILE US,TRUE,IT&Software,Logistics&Supply_chain,
CVS HEALTH CORPORATION,TRUE,Healthcare,NFT&Gaming,
BRISTOL-MYERS SQUIBB COMPANY,FALSE,Healthcare,,
HONEYWELL INTERNATIONAL,FALSE,Technology&Electronics,,
PHILIP MORRIS INTERNATIONAL,FALSE,Food&Restaurants,,
INTUIT,TRUE,IT&Software,Finance&Tokens,
ADVANCED MICRO DEVICES (AMD),FALSE,Technology&Electronics,,
UNION PACIFIC CORPORATION,FALSE,Logistics&Transportation,,
WELLS FARGO & COMPANY,TRUE,Finance&Investments,Finance&Tokens,
INTEL CORPORATION,FALSE,IT&Software,,
PAYPAL HOLDINGS,TRUE,Finance&Investments,Payments,
SALESFORCE.COM,TRUE,IT&Software,Data_managment&Security,
VERIZON COMMUNICATIONS,FALSE,Communication&Entertainment,,
COMCAST CORPORATION,TRUE,Communication&Entertainment,Data_managment&Security,
ORACLE CORPORATION,TRUE,IT&Software,Data_managment&Security,
COSTCO WHOLESALE CORPORATION,FALSE,Retail&ECommerce,,
VISA,TRUE,IT&Software,Payments,
ABBVIE,FALSE,Healthcare,,
J P MORGAN CHASE & CO,TRUE,Finance&Investments,Finance&Tokens,
NVIDIA CORPORATION,FALSE,Technology&Electronics,,
BERKSHIRE HATHAWAY,TRUE,Finance&Investments,Finance&Tokens,
META PLATFORMS,TRUE,Communication&Entertainment,Finance&Tokens,
TESLA,FALSE,Transport&Aerospace,,
ALPHABET,FALSE,Communication&Entertainment,,
MICROSOFT CORPORATION,TRUE,IT&Software,Data_managment&Security,Finance&Tokens
AMAZON.COM,TRUE,Retail&ECommerce,Data_managment&Security,Finance&Tokens
LOWE'S COMPANIES,FALSE,Retail&ECommerce,,
NEXTERA ENERGY,FALSE,Resources&Materials,,
THE CHARLES SCHWAB CORPORATION,FALSE,Finance&Investments,,
MORGAN STANLEY,FALSE,Finance&Investments,,
AT&T,FALSE,Communication&Entertainment,,
UNITED PARCEL SERVICE (UPS),FALSE,Logistics&Transportation,,
MCDONALD'S CORPORATION,TRUE,Food&Restaurants,Payments,
QUALCOMM,TRUE,IT&Software,Payments,
MERCK & CO,FALSE,Healthcare,,
COCA-COLA COMPANY,FALSE,Food&Restaurants,,
STARBUCKS CORPORATION,FALSE,Retail&ECommerce,,
JOHNSON & JOHNSON,FALSE,Healthcare,,
TEXAS INSTRUMENTS,FALSE,Technology&Electronics,,
DANAHER CORPORATION,FALSE,Healthcare,,
THERMO FISHER SCIENTIFIC,FALSE,Healthcare,,
APPLE,TRUE,IT&Software,Finance&Tokens,Data_managment&Security
BOEING COMPANY,TRUE,Transport&Aerospace,Data_managment&Security,
ESTEE LAUDER COMPANIES,FALSE,Retail&ECommerce,,
AMGEN,FALSE,Healthcare,,
YOUTUBE,FALSE,Communication&Entertainment,,
CITI GROUP,TRUE,Finance&Investments,Finance&Tokens,
THE GOLDMAN SACHS GROUP,TRUE,Finance&Investments,Finance&Tokens,
APPLIED MATERIALS,FALSE,Resources&Materials,,
AMERICAN EXPRESS COMPANY,TRUE,Finance&Investments,Payments,
RAYTHEON TECHNOLOGIES CORPORATION,FALSE,Transport&Aerospace,,
ALEXION PHARMACEUTICALS,FALSE,Healthcare,,
ARISTA NETWORKS,FALSE,IT&Software,,
THE TRADE DESK,FALSE,IT&Software,,
ROCKWELL AUTOMATION,TRUE,Machinery&Manufacture,Logistics&Supply_chain,
MCKESSON CORPORATION,FALSE,Healthcare,,
WELLTOWER,FALSE,Estate,,
ARCHER-DANIELS-MIDLAND COMPANY,FALSE,Food&Restaurants,,
OLD DOMINION FREIGHT LINE,FALSE,Logistics&Transportation,,
CORNING,TRUE,Retail&ECommerce,Logistics&Supply_chain,
