company_name,matched_to,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,currency,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022
CHINA ZHENHUA (GROUP) SCIENCE & TECHNOLOGY,"China Zhenhua (Group) Science & Technology Co., Ltd",1971,2334,6656,306,554,,,1997,,CNY,3.668,3.95,5.656,7.267,0.5781000000000001,1.1763,2.8946,4.5965,8.767,8.958,11.123,13.56,0.298,0.606,1.491,2.382,3.384,2.986,3.686,3.807,5.382,5.972,7.437,9.753,-0.198,-0.169,-0.382,-0.386,6.401,6.443,7.794,10.466
WANT WANT CHINA HOLDINGS,Want Want China Holdings Limited,1646,2261,1333,250,299,163,39132,2007,,CNY,,20.095,21.998,23.985,,0.2938,0.3383,0.3516,,29.825,31.243,29.858,,3.649,4.158,4.203,,14.471,16.271,13.149,,15.354,14.972,16.709,,-0.292,-2.914,-3.433,,23.566,21.392,20.18
ZHEJIANG NHU COMPANY,Zhejiang NHU Company Ltd.,1617,1756,2075,241,244,274,,1999,,CNY,7.621,10.314,14.798,15.934,0.7013889999999999,1.15,1.41,1.17,28.502,30.897,34.692,38.268,2.169,3.564,4.324,3.62,11.601,11.493,12.828,14.605,16.901,19.404,21.864,23.662,-4.363,-0.194,-3.392,-3.839,20.746,23.473,26.949,28.848
MANGO EXCELLENT MEDIA,"Mango Excellent Media Co., Ltd.",1264,1642,1437,189,136,175,,2005,,CNY,12.501,14.006,15.356,13.704,0.66,1.11,1.17,0.98,17.078,19.266,26.111,29.05,1.156,1.982,2.114,1.825,8.258,8.644,9.114,10.243,8.82,10.621,16.997,18.806,0.109,0.194,-3.193,0.654,8.784,10.588,16.966,18.851
HNA INFRASTRUCTURE INVESTMENT GROUP,,2270,2682,4498,365,642,790,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXSCEND MICROELECTRONICS COMPANY,Maxscend Microelectronics Company Limited,1205,1101,2436,177,175,331,217,2012,,CNY,1.512,2.792,4.634,,1.096042,2.069438,4.009688,,1.923,03.09,8.448,,0.497,1.073,2.135,,0.226,0.438,0.813,,1.698,2.652,7.634,,-0.582,0.13,-3.356,,1.703,2.66,7.642,
ZHEJIANG CHINT ELECTRICS,"Zhejiang Chint Electrics Co., Ltd.",1202,1174,1832,176,215,242,25140,1997,,CNY,30.226,33.253,38.865,,1.75,2.99,1.58,,55.277,69.27,85.451,,3.762,6.427,3.401,,30.326,38.088,50.982,,24.952,31.182,34.469,,-4.881,-7.418,-8.866,,33.448,42.24,47.948,
VIPSHOP HOLDINGS,Vipshop Holdings Limited,2816,1952,1532,489,140,189,7567,2008,2012,CNY,92.994,101.858,117.06,103.152,6.016,8.746,6.876,,48.583,58.941,62.288,65.476,4.017,5.907,4.681,6.299,26.333,29.555,28.459,31.402,22.25,29.386,33.828,34.073,-8.241,-6.695,-2.326,,21.892,28.498,32.633,32.752
KANZHUN LTD,Kanzhun Limited,1338,1393,,204,,,3388,2013,2021,CNY,0.999,1.944,4.259,4.511,-2.061825,-3.441765,-4.66,0.24,1.879,5.083,13.642,14.827,-0.502,-0.942,-1.071,0.107,3.54,7.383,2.968,3.186,-1.661,-2.3,10.674,11.641,-1.224,0.467,-0.602,-2.817,-1.661,-2.3,10.674,11.641
NEW HOPE LIUHE,"New Hope Liuhe Co.,Ltd.",1621,2399,1282,242,180,156,70600,1998,,CNY,82.051,109.825,126.262,,1.22,1.17,-2.2,,64.218,109.443,132.734,,5.042,4.944,-9.591,,31.568,58.073,86.255,,32.65,51.371,46.48,,-8.737,-34.015,-16.948,,31.016,65.557,77.586,
COUNTRY GARDEN SERVICES HOLDINGS COMPANY,Country Garden Services Holdings Company Limited,1170,856,1646,171,135,206,101784,1992,,CNY,9.645,15.6,28.843,41.367,0.6273000000000001,0.9762,1.2842,0.5768,12.269,31.204,66.813,70.077,1.671,2.686,4.033,1.943,6.59,15.045,28.439,30.168,5.68,16.159,38.373,39.909,-1.628,-4.632,-25.092,0.755,5.373,14.813,36.629,38.472
SG MICRO CORP,SG Micro Corp,1790,1800,3355,276,420,521,572,2007,,CNY,0.792,1.197,2.238,3.188,0.5071559999999999,0.8258000000000001,1.9774,2.4533,1.393,1.867,3.049,4.343,0.176,0.289,0.699,0.874,0.273,0.368,0.645,0.893,1.121,1.498,2.404,3.451,-0.099,0.229,-0.32,-0.526,1.115,1.494,2.406,3.466
GOERTEK,Goertek Inc.,752,881,1621,91,146,202,87346,2001,,CNY,35.148,57.743,78.221,104.894,0.4,0.89,1.29,0.52,34.66,49.118,61.079,77.176,1.281,2.848,4.275,1.749,18.531,29.384,33.148,46.919,16.129,19.734,27.931,30.258,-3.038,-5.301,-6.768,-9.077,16.451,25.439,29.532,31.698
CHAOZHOU THREE-CIRCLE (GROUP),"Chaozhou Three-Circle (Group) Co.,Ltd.",1554,1945,2466,235,255,338,,1970,,CNY,2.726,3.994,6.218,5.149,0.5,0.8200000000000001,1.1,0.79,8.572,12.347,18.62,19.593,0.871,1.44,2.011,1.505,1.062,1.533,2.428,2.49,7.51,10.814,16.192,17.103,-0.856,-1.051,-1.877,-3.807,7.51,10.813,16.19,17.1
MING YANG SMART ENERGY GROUP,Ming Yang Smart Energy Group Limited,2470,2933,4536,404,477,795,10163,,,CNY,10.493,22.457,27.158,,0.525,0.95,1.6,,34.696,51.628,61.493,,0.713,1.374,3.101,,27.604,36.543,42.999,,7.092,15.084,18.494,,-2.143,-3.763,-6.935,,11.375,19.142,23.094,
CHINA ZHESHANG BANK CO. LTD,China Zheshang Bank Co Ltd,1701,1779,4530,264,216,793,16272,2004,,CNY,46.447,38.707,41.856,48.541,0.64,0.53,0.55,,1800.786,2048.225,2286.723,2621.93,12.925,12.309,12.648,13.618,1672.758,1915.682,2119.84,2456.0,128.028,132.543,166.883,165.93,57.145,-0.88,-77.722,-130.201,333.447,368.244,484.901,485.966
GUANGHUI ENERGY,"Guanghui Energy Co., Ltd.",2567,2909,3750,424,879,607,,1994,,CNY,14.042,15.134,24.865,59.409,0.2353,0.1994,0.7688,1.7268,48.742,54.12,59.709,61.575,1.597,1.336,5.003,11.338,32.123,36.878,38.929,32.965,16.618,17.243,20.78,28.611,-3.152,-3.255,-3.207,-0.383,26.238,27.818,30.731,36.334
HUIZHOU DESAY SV AUTOMOTIVE,"Huizhou Desay SV Automotive Co., Ltd.",1660,2521,4638,255,374,818,4506,1986,,CNY,5.337,6.799,9.569,14.933,0.53,0.94,1.51,,6.348,7.55,10.152,13.756,0.292,0.518,0.833,1.184,2.13,2.907,4.735,7.213,4.218,4.643,5.416,6.543,-0.23,-0.067,-0.773,-1.046,4.218,4.64,5.339,7.051
XCMG CONSTRUCTION MACHINERY,"XCMG Construction Machinery Co., Ltd.",2339,2230,2239,379,414,300,,2021,,CNY,59.176,73.968,84.328,,0.432,0.4505,0.7052,,77.292,91.797,110.029,,3.621,3.729,5.615,,43.645,57.627,72.86,,33.646,34.171,37.169,,-2.837,-1.019,-8.125,,38.931,39.359,45.329,
SHENZHEN TRANSSION HOLDINGS,"Shenzhen Transsion Holdings Co., Ltd.",1074,1185,2558,148,144,358,,2006,,CNY,25.346,37.792,49.412,,2.42,3.36,4.88,,17.744,25.991,31.459,,1.793,2.686,3.909,,9.479,15.481,17.399,,8.265,10.509,14.061,,-2.873,0.818,-5.84,,8.348,10.492,14.023,
YUNNAN BOTANEE BIO-TECHNOLOGY GROUP CO.LTD,Yunnan Botanee Bio-Technology Group Co.LTD,1675,1579,,258,,,,2010,,CNY,1.944,2.636,4.022,5.014,1.14,1.51,2.12,2.48,1.084,1.602,5.812,6.719,0.412,0.544,0.863,1.051,0.323,0.4,1.034,1.117,0.761,1.202,4.778,5.602,-0.061,-0.086,-2.558,-0.018,0.756,1.199,4.755,5.552
BEIJING TONGRENTANG CO. LTD,"Beijing Tongrentang Co., Ltd",1753,2670,2565,271,521,362,6152,1997,,CNY,13.277,12.826,14.603,15.372,0.719,0.752,0.895,,20.922,21.838,25.073,27.044,0.985,1.031,1.227,1.426,6.262,6.291,8.4,8.59,14.66,15.546,16.673,18.454,-0.317,-0.961,-0.342,-0.211,10.466,10.315,11.379,13.029
DONGFANG ELECTRIC CORPORATION,Dongfang Electric Corporation Limited,1974,2611,3168,308,585,478,17336,1984,,CNY,32.84,37.283,47.819,55.353,0.41,0.6000000000000001,0.73,0.92,89.619,97.795,103.105,115.265,1.278,1.862,2.289,2.855,57.821,64.154,67.721,76.64,31.798,33.642,35.384,38.625,1.37,-0.68,-3.053,-13.186,30.082,31.627,34.063,35.933
XPENG MOTORS,,508,571,1677,57,83,211,3676,2014,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANGHAI PHARMACEUTICALS HOLDING CO. LTD,"Shanghai Pharmaceuticals Holding Co., Ltd",2269,2504,2067,364,361,267,,1994,,CNY,186.566,191.909,215.824,231.981,1.44,1.58,1.79,1.61,137.026,149.186,163.436,198.135,4.081,4.496,5.093,5.617,87.64,94.445,104.369,120.132,49.386,54.741,59.066,78.002,-4.584,-1.706,-6.016,-12.473,50.793,46.539,56.517,73.323
CHONGQING BREWERY,"Chongqing Brewery Co., Ltd.",1885,1928,3548,291,298,561,,,,CNY,3.582,10.942,13.119,14.039,2.15,2.23,2.41,2.61,3.514,9.595,11.533,12.498,0.657,1.077,1.166,1.264,2.003,8.027,8.405,8.875,1.511,1.569,3.128,3.623,-0.022,-2.805,-1.152,-0.388,1.419,0.95,1.755,2.056
CHINA OILFIELD SERVICES,China Oilfield Services Limited,2107,2344,1381,334,362,166,,2001,,CNY,31.135,28.959,29.203,35.659,0.5244,0.5665,0.0656,,76.102,75.942,73.312,77.184,2.502,2.703,0.313,2.353,39.192,37.253,35.095,37.286,36.91,38.689,38.216,39.898,-1.154,-3.343,-4.733,-3.734,54.864,58.157,50.194,53.718
JIANGXI COPPER COMPANY,Jiangxi Copper Company Limited,1978,1895,2036,309,308,260,24831,1979,,CNY,240.36,318.563,442.768,479.938,0.71,0.67,1.63,,134.914,140.882,161.035,167.331,2.466,2.32,5.636,5.994,75.881,74.022,83.225,85.38,59.033,66.859,77.81,81.95,-11.944,-0.303,-3.229,-7.719,58.503,74.487,83.155,83.275
CHINA HONGQIAO GROUP LIMITED,China Hongqiao Group Limited,,,,,,,,,,CNY,84.179,86.145,114.491,131.699,0.7087,1.221,1.772,0.9358,179.604,181.531,188.421,185.742,6.095,10.496,16.073,8.702,113.588,104.729,95.982,89.436,66.016,76.802,92.439,96.306,-6.263,-6.974,-5.463,-16.773,109.821,100.483,112.281,100.735
METALLURGICAL CORPORATION OF CHINA,Metallurgical Corporation of China Ltd.,2926,2380,1806,520,708,237,101020,,,CNY,338.638,400.115,500.572,592.669,0.27,0.32,0.35,0.45,458.506,506.393,543.47,585.384,6.6,7.862,8.375,10.272,341.601,366.038,392.082,423.475,116.906,140.355,151.388,161.909,-9.835,-12.287,-12.567,-6.559,126.829,124.313,133.048,151.249
SHIJIAZHUANG YILING PHARMACEUTICAL,"Shijiazhuang Yiling Pharmaceutical Co., Ltd.",2931,3841,5067,522,546,927,9618,,,CNY,5.825,8.782,10.117,12.533,0.364286,0.7295,0.8044,1.4137,9.069,11.492,12.905,16.336,0.607,1.219,1.344,2.362,1.117,2.569,3.833,5.406,7.953,8.923,9.072,10.93,0.037,-1.04,-0.507,-1.995,7.944,8.919,9.57,11.132
TOPCHOICE MEDICAL CORPORATION,"Topchoice Medical Co., Inc.",2071,1785,2906,327,205,420,,1995,,CNY,1.894,2.088,2.781,2.719,1.45,1.54,2.19,1.71,2.66,3.064,4.955,5.154,0.463,0.493,0.703,0.548,0.69,0.716,1.81,1.536,1.97,2.348,3.144,3.618,-0.423,-0.294,-0.484,-0.497,2.106,2.375,2.991,3.34
COSCO SHIPPING ENERGY TRANSPORTATION,"COSCO SHIPPING Energy Transportation Co., Ltd.",4101,4728,3675,843,638,588,6929,,,CNY,13.88,16.385,12.699,18.658,0.107,0.518,-1.0447,0.3057,65.842,65.96,59.389,68.25,0.432,2.373,-4.975,1.457,36.674,30.358,29.467,34.68,29.168,35.602,29.922,33.57,-0.792,-4.905,-2.642,-5.191,47.944,50.927,41.258,52.317
CHINA NATIONAL BUILDING MATERIAL COMPANY,China National Building Material Company Limited,1633,1615,1536,247,264,190,155606,1984,,CNY,253.403,254.762,273.683,230.168,1.301,1.489,1.932,0.944,446.548,456.378,462.542,482.467,12.145,13.545,17.013,8.65,295.291,291.197,283.918,290.129,151.257,165.181,178.624,192.338,-26.58,-29.343,-35.611,-25.679,189.917,194.506,211.775,218.343
SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY,Shandong Weigao Group Medical Polymer Company Limited,2962,2349,2451,529,261,335,10433,,,CNY,10.364,11.345,13.152,,0.41,0.46,0.5,,26.326,27.345,30.367,,1.845,02.03,2.245,,9.329,8.954,9.46,,16.997,18.39,20.907,,-1.337,0.423,-1.479,,20.62,21.538,22.722,
INDUSTRIAL SECURITIES,China Industrial Securities International Financial Group Limited,1878,1866,2171,290,295,288,8906,1991,,HKD,1.262,0.577,0.636,,-0.1155,-0.1231,0.01,,24.305,18.264,16.795,,-0.462,-0.493,0.04,,20.465,14.917,12.408,,3.84,3.347,4.387,,-0.009,-0.012,-0.022,,7.529,5.634,6.74,
SICHUAN CHUANTOU ENERGY,"Sichuan Chuantou Energy Co.,Ltd.",2226,2418,2325,356,395,314,,,,CNY,0.838,1.031,1.263,1.42,0.6695,0.7182000000000001,0.7009000000000001,0.7957000000000001,37.455,41.329,48.467,54.714,2.947,3.162,3.087,3.515,9.799,11.571,16.178,19.515,27.657,29.758,32.289,35.199,-2.429,1.483,-2.513,-1.197,31.278,34.394,38.998,44.656
ENN ECOLOGICALHOLDINGS,,2095,2240,5335,332,481,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANGHAI M&G STATIONERY,Shanghai M&G Stationery Inc.,2031,1956,2282,315,218,307,,1997,,CNY,11.141,13.138,17.607,19.996,1.1523,1.3558,1.645,,7.565,9.71,11.424,13.023,01.06,1.255,1.518,1.282,3.104,4.269,4.901,5.77,4.461,5.441,6.523,7.252,-0.074,-1.065,-0.663,-0.151,4.202,5.194,6.195,6.849
KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY,Kingdee International Software Group Company Limited,1847,1611,3586,284,197,568,10663,1993,,CNY,3.326,3.356,4.174,4.866,0.1152,-0.1012,-0.0923,-0.1131,8.42,10.722,11.087,11.731,0.373,-0.335,-0.302,-0.389,2.274,2.764,3.284,4.324,6.146,7.958,7.803,7.408,-0.553,-1.491,-1.205,-0.787,5.987,7.79,7.596,7.65
ADVANCED MICRO-FABRICATION EQUIPMENT CHINA,,1653,1440,1897,254,214,251,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHONGQING SOKON INDUSTRY GROUP STOCK,,1710,1387,6049,265,791,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMAGE BIOTECHNOLOGY CORPORATION,Bloomage BioTechnology Corporation Limited,1814,1536,2444,279,251,333,,,,CNY,1.886,2.633,4.948,6.359,1.34,1.35,1.63,02.02,4.972,5.717,7.504,8.682,0.586,0.646,0.782,0.971,0.422,0.699,1.801,1.999,4.55,5.018,5.702,6.683,-1.247,-1.331,-0.99,-0.836,4.55,05.02,5.843,6.742
PING AN HEALTHCARE TECHNOLOGY,Ping An Healthcare and Technology Company Limited,1679,1679,1679,259,271,212,,2014,,CNY,5.065,6.866,7.334,6.16,-0.73,-0.92,-1.39,-0.56,12.379,18.563,17.881,17.142,-0.734,-0.948,-1.538,-0.608,2.71,2.707,3.795,3.684,9.669,15.856,14.086,13.459,4.477,-2.497,-3.1,,9.649,15.833,14.083,13.46
HAINAN AIRLINES HOLDING,"Hainan Airlines Holding Co., Ltd.",1925,3234,3110,300,670,468,26236,1989,,CNY,72.389,29.401,34.002,22.864,0.006,-3.834,0.26,,196.535,164.577,143.255,138.114,0.543,-64.003,4.721,-20.247,134.428,186.831,132.288,137.655,62.107,-22.254,10.967,0.459,-30.173,-3.225,-1.537,2.673,54.626,-28.372,57.204,47.796
FULL TRUCK ALLIANCE CO. LTD.,,2041,1220,,318,,,4059,2011,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGADEVICE SEMICONDUCTOR (BEIJING),GigaDevice Semiconductor (Beijing) Inc.,1240,1374,1538,184,196,191,,2005,,CNY,3.203,4.497,8.51,,1.028571,1.36,3.54,,6.174,11.711,15.418,,0.607,0.881,2.337,,0.947,1.017,1.935,,5.226,10.694,13.483,,-0.668,0.318,-3.279,,5.308,10.694,13.483,
JIANGSU KING'S LUCK BREWERY JOINT-STOCK,"Jiangsu King's Luck Brewery Joint-Stock Co.,Ltd.",1867,2265,2490,286,246,346,,1996,,CNY,4.874,5.122,6.408,,1.1623,1.249,1.6183,,10.062,11.851,14.434,,1.458,1.567,2.029,,2.856,3.584,5.137,,7.206,8.267,9.297,,-1.163,0.84,-1.216,,7.206,8.267,9.297,
NINGBO TUOPU GROUP,"Ningbo Tuopu Group Co.,Ltd.",2145,3133,4258,341,429,739,7483,,,CNY,5.359,6.511,11.463,15.993,0.43,0.6000000000000001,0.93,1.54,11.234,12.115,18.683,27.51,0.456,0.628,1.017,1.7,3.83,4.297,8.062,15.35,7.405,7.818,10.62,12.16,-1.026,-0.587,-3.736,-5.106,7.558,7.787,10.899,17.312
AVARY HOLDING (SHENZHEN),"Avary Holding(Shenzhen)Co., Limited",1327,1821,1044,200,156,134,35050,1999,,CNY,26.615,29.851,33.315,36.211,1.27,1.23,1.43,,28.856,33.102,35.541,38.803,2.925,2.841,3.317,5.012,9.027,11.543,11.728,10.866,19.829,21.559,23.813,27.937,-3.085,-4.57,-6.952,-4.484,19.829,21.558,23.972,28.113
TCL CORPORATION,,1441,1388,1739,221,181,224,48471,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAT GLASS GROUP,"Flat Glass Group Co., Ltd.",1328,1284,3896,201,245,635,3440,1998,,CNY,4.807,6.26,8.713,15.461,0.37,0.8300000000000001,0.99,0.99,9.392,12.266,20.083,32.382,0.717,1.629,2.12,2.123,4.879,5.031,8.273,18.349,4.513,7.235,11.81,14.032,-1.248,-2.374,-3.563,-7.869,4.795,8.846,13.778,21.51
BILIBILI,Bilibili Inc.,1373,710,627,209,87,74,8646,2010,2018,CNY,6.778,11.999,19.384,21.899,-3.99,-8.71,-17.87,,15.517,23.866,52.053,41.831,-1.289,-3.012,-6.789,-7.497,7.88,16.083,30.337,26.591,7.636,7.782,21.716,15.24,-3.958,-8.907,-24.578,10.609,10.467,15.941,39.488,23.921
SPRING AIRLINES,"Spring Airlines Co., Ltd.",2223,2415,2460,355,333,336,,2005,,CNY,14.804,9.373,10.858,,02.01,-0.64,0.04,,29.367,32.43,38.32,,1.841,-0.588,0.039,,14.325,18.249,24.573,,15.041,14.181,13.747,,-2.28,-4.887,-5.963,,19.489,20.164,23.219,
WALVAX BIOTECHNOLOGY,"Walvax Biotechnology Co., Ltd.",1379,1145,2184,210,286,291,,2001,,CNY,1.121,2.939,3.463,5.086,0.0923,0.6518,0.2727,0.4546,7.018,9.638,13.674,15.328,0.142,1.003,0.428,0.729,1.352,1.79,3.675,4.338,5.666,7.848,9.999,10.99,0.193,-0.73,-0.977,-0.935,4.865,6.545,8.484,9.398
WUXI LEAD INTELLIGENT EQUIPMENT,"Wuxi Lead Intelligent Equipment CO.,LTD.",1230,1239,2489,182,236,345,,,,CNY,4.684,5.858,10.037,13.932,0.5427500000000001,0.5443,1.2827,1.4815,9.517,12.662,24.0,32.907,0.766,0.768,1.585,2.318,5.233,7.047,14.531,21.783,4.284,5.615,9.469,11.123,-0.466,-0.503,-3.615,02.01,5.081,5.615,9.469,11.123
GUOXUAN HIGH-TECH,,1636,2011,4634,248,340,816,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSETIME GROUP,SenseTime Group Inc.,2069,2069,2069,324,337,270,,,,CNY,3.027,3.446,4.7,3.809,-0.149104,-0.3653039999999999,-0.514989,,23.948,38.479,36.944,37.427,-4.963,-12.158,-17.14,-6.045,34.602,59.411,4.957,8.413,-10.654,-20.933,31.987,29.014,-1.628,-7.07,-1.548,-9.298,-10.79,-20.645,32.232,31.877
XINYI SOLAR HOLDINGS,Xinyi Solar Holdings Limited,1465,1050,2349,225,113,319,7072,2008,,HKD,9.096,12.316,16.065,,0.3028,0.554,0.5565,,28.397,43.423,49.07,,2.416,4.561,4.924,,9.824,11.399,13.173,,18.573,32.025,35.897,,-2.262,-3.195,-4.758,,18.056,29.225,34.662,
SINOLINK SECURITIES,"Sinolink Securities Co., Ltd.",3114,3379,3192,575,348,490,,,,CNY,4.352,6.048,7.139,5.67,0.429,0.616,0.766,0.343,50.151,67.63,88.313,102.18,1.299,1.863,2.317,1.198,29.363,45.09,63.808,70.848,20.788,22.54,24.504,31.332,0.98,-0.296,-0.037,-3.705,28.657,38.569,48.869,51.324
AVIC AVIATION HIGH-TECHNOLOGY,"Avic Aviation High-Technology Co., Ltd.",2534,2532,4820,413,415,865,,1988,,CNY,2.473,2.912,3.808,4.446,0.4,0.31,0.42,,6.541,6.526,6.923,7.627,0.552,0.431,0.591,0.765,2.353,2.125,2.043,1.988,4.188,4.401,4.88,5.639,-0.019,-0.998,0.064,0.144,4.441,4.398,4.841,5.436
LOONGSON TECHNOLOGY CORPORATION LIMITED,Loongson Technology Corporation Limited,,,,,,,,,,CNY,0.486,1.082,1.201,,0.62,0.2,0.66,,1.18,1.656,1.989,,0.193,0.072,0.237,,0.291,0.527,0.597,,0.888,1.129,1.392,,-0.051,-0.272,-0.225,,0.888,1.129,1.392,
CHINA HUARONG ASSET MANAGEMENT,"China Huarong Asset Management Co., Ltd.",5933,3372,2212,1345,603,296,10947,,,CNY,26.317,-87.463,19.453,-29.683,0.04,-2.634,0.01,-0.344,1705.012,1641.467,1568.422,955.326,1.424,-102.903,0.378,-33.381,1541.536,1577.21,1464.437,906.947,163.476,64.257,103.984,48.379,71.009,-2.733,43.413,8.578,1274.115,1180.841,1137.477,878.195
ZHEJIANG WEIMING ENVIRONMENT PROTECTION,"Zhejiang Weiming Environment Protection Co., Ltd.",2557,3188,3803,422,711,617,,2001,,CNY,2.038,3.123,4.185,4.446,0.615385,0.769231,0.98,,6.915,10.473,14.651,20.224,0.974,1.257,1.535,1.653,2.68,4.925,6.462,9.68,4.234,5.549,8.19,10.544,-1.201,-2.167,-2.12,-3.035,5.16,7.633,10.263,14.488
LINGYI ITECH (GUANGDONG) COMPANY,Lingyi iTech (Guangdong) Company,2279,2524,1418,366,213,171,,1975,,CNY,23.916,28.143,30.384,,0.28,0.33,0.17,,27.318,29.387,35.547,,1.894,2.266,1.18,,15.658,14.891,19.704,,11.66,14.496,15.842,,-3.737,-3.53,-3.943,,12.781,16.673,20.044,
"FARASIS ENERGY (GAN ZHOU) CO., LTD.","Farasis Energy (Gan Zhou) Co., Ltd.",3113,2841,,574,,,3670,,,CNY,2.45,1.12,3.5,,0.15,-0.35,-0.89,,11.7,15.418,20.936,,0.131,-0.331,-0.953,,4.597,5.341,11.662,,7.103,10.077,9.274,,0.592,-0.757,-3.881,,7.717,11.729,11.465,
"DONGGUAN YIHEDA AUTOMATION CO., LTD.","Dongguan Yiheda Automation Co., Ltd.",3083,3111,,559,,,,,,CNY,0.761,1.21,1.803,2.515,0.3340539999999999,0.625,0.89,01.06,1.302,1.666,2.775,3.426,0.144,0.271,0.401,0.506,0.187,0.308,0.512,0.76,1.115,1.358,2.263,2.666,-0.104,-0.27,-0.573,0.195,1.115,1.358,2.263,2.666
BTG HOTELS (GROUP),"BTG Hotels (Group) Co., Ltd.",3478,4385,4165,670,810,722,,,,CNY,8.311,5.282,6.153,5.089,0.9031,-0.5074000000000001,0.056,,17.11,16.633,27.006,25.448,0.885,-0.496,0.056,-0.582,7.813,7.997,15.684,14.838,9.297,8.635,11.322,10.61,-0.264,-0.682,-0.454,-1.962,10.74,9.408,11.499,10.498
"HANGZHOU LION ELECTRONICS CO.,LTD","Hangzhou Lion Electronics Co.,Ltd",2347,2469,,381,,,,,,CNY,1.192,1.502,2.541,2.914,0.243243,0.371622,1.46,01.02,4.757,6.375,12.561,18.542,0.128,0.202,0.6,0.688,2.798,3.863,4.319,8.72,1.959,2.513,8.241,9.821,-1.084,-0.705,-3.032,-4.745,2.016,2.298,8.152,13.362
YANGZIJIANG SHIPBUILDING (HOLDINGS),Yangzijiang Shipbuilding (Holdings) Ltd.,4104,3643,3624,844,902,577,6504,,,CNY,23.597,14.841,16.768,20.705,0.7888000000000001,0.6439,0.9579,,45.756,44.911,51.612,32.967,3.105,2.516,3.699,2.807,13.702,11.534,15.551,15.262,32.055,33.377,36.062,17.705,-0.71,-1.035,0.315,-0.877,33.345,34.466,37.876,19.871
BLUE MOON GROUP HOLDINGS LIMITED,Blue Moon Group Holdings Limited,3177,2974,,596,,,,,,HKD,07.05,6.996,7.597,,0.187853,0.2603,0.1749,,5.041,15.803,14.512,,01.08,1.309,1.014,,2.178,4.124,2.165,,2.863,11.679,12.346,,-0.194,-0.266,-0.263,,03.07,11.679,12.346,
YINTAI GOLD,"Yintai Gold Co., Ltd.",4122,4402,3325,849,709,513,1566,,,CNY,5.149,7.906,09.04,8.382,0.3136,0.4475,0.4586,,11.886,12.907,15.933,16.167,0.864,1.242,1.273,1.124,1.775,1.84,3.595,3.487,10.111,11.066,12.339,12.679,-1.066,-1.534,-0.805,-1.36,9.283,10.125,10.466,11.022
SINOPEC OILFIELD SERVICE CORPORATION,Sinopec Oilfield Service Corporation,3193,3392,2587,607,598,365,,,,CNY,69.87,68.073,69.533,73.773,0.048,0.004,0.009,0.024,62.069,61.091,64.052,71.201,0.914,0.079,0.18,0.464,55.306,54.368,57.191,63.773,6.764,6.723,6.862,7.427,-3.179,-1.6,-3.253,-3.951,7.238,7.304,8.416,7.908
ZHEJIANG CENTURY HUATONG GROUP,"Zhejiang Century Huatong Group Co.,Ltd",1963,2487,1438,304,321,176,,,,CNY,14.69,14.983,13.929,,0.38,0.4,0.32,,32.359,42.747,40.643,,2.285,2.946,2.327,,7.49,12.799,8.489,,24.869,29.948,32.154,,-2.964,-8.053,-1.169,,24.546,32.939,31.097,
SHANDONG SINOCERA FUNCTIONAL MATERIAL,"Shandong Sinocera Functional Material Co., Ltd.",2814,2637,3748,488,384,606,2681,2005,,CNY,2.153,2.542,3.162,3.167,0.52,0.6000000000000001,0.79,,4.806,6.025,7.879,7.502,0.501,0.574,0.795,0.497,0.851,0.656,1.743,1.196,3.955,5.369,6.136,6.305,-0.234,-0.336,-0.457,-0.614,3.688,4.995,5.743,5.882
DONGXING SECURITIES COMPANY,,2952,3628,2689,526,468,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
