company_name,matched_to,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,currency,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022
GRAPHIC PACKAGING HOLDING COMPANY,Graphic Packaging Holding Company,2810,2862,2786,963,1034,911,24000,1991,,USD,6.16,6.56,7.156,9.44,0.7000000000000001,0.6000000000000001,0.6900000000000001,,7.29,7.805,10.457,10.328,0.207,0.167,0.204,0.522,4.928,5.964,8.564,8.178,2.362,1.84,1.893,2.15,-0.224,-0.669,-2.392,-0.435,4.38,4.571,7.406,7.349
RALPH LAUREN CORPORATION,Ralph Lauren Corporation,2104,2189,1703,769,737,606,22200,1967,1997,USD,,6.16,4.401,6.218,,05.07,-1.65,8.22,,7.28,7.888,7.725,,0.384,-0.121,0.6,,4.587,5.283,5.189,,2.693,2.604,2.536,,0.702,0.195,-0.718,,03.09,4.237,3.672
ADVANCED DRAINAGE SYSTEMS,"Advanced Drainage Systems, Inc.",2046,2317,4298,750,870,1332,5635,1966,,USD,,1.674,1.983,2.769,,-3.21,2.64,3.22,,2.37,2.414,2.65,,-0.193,0.224,0.271,,1.585,1.35,1.545,,0.785,1.063,1.105,,-1.15,-0.078,-0.199,,1.862,1.832,1.997
BOK FINANCIAL CORPORATION,BOK Financial Corporation,2333,2960,2306,832,994,772,4781,1910,,USD,1.747,1.888,1.831,1.819,07.03,6.19,8.95,,42.172,46.671,50.249,47.791,0.501,0.435,0.618,0.52,37.308,41.38,44.881,43.103,4.864,5.292,5.368,4.687,-2.324,-2.459,2.603,,9.659,7.425,5.532,9.551
GITLAB,GitLab Inc.,1849,1799,3958,690,1274,1230,1630,2014,,USD,,0.081,0.152,0.253,,-0.986784,-1.450608,-1.95,,0.392,0.363,1.091,,-0.131,-0.192,-0.155,,0.527,0.594,0.292,,-0.135,-0.231,0.799,,0.0,-0.001,-0.054,,-0.135,-0.231,0.775
CONSUMERS ENERGY COMPANY,Consumers Energy Company,2013,2068,1624,741,646,581,9073,1886,,USD,6.845,6.189,7.329,8.151,,,,,23.699,25.399,28.753,29.916,0.68,0.816,1.353,0.945,15.962,16.843,21.565,19.761,7.737,8.556,7.188,10.155,-2.816,-2.867,-1.233,-2.476,14.785,16.298,19.105,19.347
PLUG POWER,Plug Power Inc.,1400,1407,7981,547,491,,3353,1997,1999,USD,0.23,-0.1,0.502,0.701,-0.36,-1.6800000000000002,-0.8200000000000001,-1.25,0.771,2.416,5.95,5.764,-0.085,-0.562,-0.46,-0.724,0.637,0.91,1.344,1.704,0.135,1.506,4.606,04.06,-0.014,-0.095,-1.741,-0.679,0.425,1.742,4.911,4.258
CACI INTERNATIONAL,CACI International Inc,2705,2966,2266,936,831,762,22000,1962,,USD,4.986,5.72,6.044,6.203,10.7,12.84,18.52,15.64,5.087,5.542,6.172,6.629,0.266,0.321,0.457,0.367,2.715,2.881,3.507,3.576,2.371,2.661,2.665,3.054,-1.128,-0.179,-0.427,-0.689,3.99,4.019,4.354,4.756
ALLEGHANY CORPORATION,,2004,2050,1320,739,673,495,13313,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEAR CORPORATION,Lear Corporation,1717,2021,1692,658,633,604,168700,1917,,USD,19.81,17.046,19.263,20.892,12.469495,2.63,6.22,5.546886,12.681,13.199,13.352,13.763,0.754,0.158,0.374,0.328,8.18,8.584,8.544,8.933,4.501,4.615,4.808,4.83,-0.922,-0.469,-0.647,-0.83,6.795,6.915,7.404,7.422
SEALED AIR CORPORATION,Sealed Air Corporation,1932,2088,2337,712,769,784,16300,1960,,USD,4.791,4.903,5.534,5.642,1.7000000000000002,3.24,3.36,3.37,5.765,6.084,6.229,6.215,0.263,0.503,0.507,0.492,5.961,5.911,5.981,5.871,-0.196,0.172,0.249,0.344,-0.666,-0.16,-0.126,-0.243,3.502,3.904,3.468,3.582
SIGNATURE BANK,Signature Bank,942,1336,1990,402,755,684,2243,2001,2004,USD,1.34,1.594,2.001,2.696,10.87,10.0,15.2,,50.616,73.888,118.445,110.364,0.589,0.528,0.918,1.337,45.847,68.061,110.605,102.351,4.77,5.827,7.841,8.013,-2.634,-11.879,-27.121,-16.227,9.368,9.495,11.05,19.868
ZIONS BANCORPORATION NATIONAL ASSOCIATION,"Zions Bancorporation, National Association",1749,2051,1684,666,765,601,9685,1873,,USD,2.834,2.789,2.911,3.152,4.41,03.06,6.8,5.8,69.172,81.476,93.2,89.545,0.816,0.539,1.129,0.907,61.819,73.59,85.737,84.652,7.353,7.886,7.463,4.893,0.375,-12.204,-11.579,1.405,9.076,9.222,8.475,5.544
DONALDSON COMPANY,"Donaldson Company, Inc.",2414,2211,2009,860,776,691,14000,1915,,USD,2.845,2.582,2.854,3.307,02.08,02.03,2.27,2.69,2.143,2.245,2.4,2.6,0.267,0.257,0.287,0.333,1.25,1.252,1.263,1.467,0.893,0.993,1.137,1.133,-0.246,-0.129,-0.058,-0.154,1.477,1.61,1.598,1.778
PHILLIPS 66 PARTNERS LP,,1983,2295,3181,726,851,1015,7110,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROBINHOOD MARKETS, INC.","Robinhood Markets, Inc.",1495,555,1765,581,639,623,2300,2013,2021,USD,0.278,0.959,1.815,1.358,-0.147144,0.004142,-7.49,-1.17,3.944,10.988,19.769,23.337,-0.107,0.007,-3.686,-1.028,4.041,11.044,12.476,16.381,-0.097,-0.055,7.293,6.956,-0.012,-0.032,-0.238,-0.06,-0.097,-0.055,7.293,6.956
WEX Inc,WEX Inc.,2522,2278,1639,886,654,588,4900,1983,,USD,1.724,1.56,1.851,2.351,2.29,-5.5600000000000005,0.003064,,8.298,8.183,10.307,11.529,0.099,-0.244,0.0,0.201,6.205,6.148,8.214,9.88,2.093,2.035,2.093,1.65,-0.991,-0.329,-1.601,-0.717,4.613,4.779,4.534,4.172
COTY,Coty Inc.,2193,2465,1778,797,927,628,11012,1904,2013,USD,8.648,4.718,4.63,5.304,-5.04,-1.33,-0.4,0.08,17.665,16.729,13.691,12.116,-3.784,-1.007,-0.201,0.26,12.62,12.705,9.509,8.558,5.045,4.024,4.183,3.558,-0.454,-0.833,2.442,0.27,12.057,11.612,9.298,7.706
ORGANON & CO.,Organon & Co.,2198,2153,,798,,,10000,2020,,USD,7.777,8.096,6.304,6.174,12.712816,8.533152,5.33,3.61,10.548,10.434,10.681,10.955,3.218,2.16,1.351,0.917,3.513,11.254,12.189,11.847,7.035,-0.82,-1.508,-0.892,-0.102,-0.258,-0.481,-0.42,7.105,-0.82,7.617,8.013
MIDDLEBY CORPORATION,The Middleby Corporation,1747,1913,2318,665,759,775,11268,1888,,USD,2.959,2.513,3.251,4.033,6.33,3.76,8.85,08.07,5.002,5.202,6.384,6.875,0.352,0.207,0.488,0.437,3.055,3.226,3.889,4.077,1.947,1.977,2.494,2.798,-0.328,-0.107,-1.009,-0.348,3.817,3.683,4.881,5.474
EMCOR GROUP,"EMCOR Group, Inc.",2591,2737,2778,900,969,909,35500,1994,,USD,9.175,8.797,9.904,11.076,5.78,2.41,07.09,8.13,4.83,5.064,5.441,5.525,0.325,0.133,0.384,0.406,2.773,3.011,3.188,3.55,2.058,2.053,2.253,1.974,-0.345,-0.095,-0.153,-0.141,2.351,2.312,2.498,2.205
ALLY FINANCIAL,Ally Financial Inc.,1179,1137,1322,492,513,496,11600,1919,2014,USD,7.376,7.638,8.912,9.342,4.36,2.89,8.28,,180.644,182.165,182.35,191.826,1.715,1.085,03.06,1.714,166.228,167.462,165.3,178.967,14.416,14.703,17.05,12.859,-3.769,8.427,-11.098,-17.263,48.443,36.709,34.079,30.621
KBR,"KBR, Inc.",2642,3224,2979,915,1077,958,30000,1998,2006,USD,5.639,5.767,7.339,6.564,1.42,-0.51,0.19,,5.364,5.705,6.199,5.566,0.202,-0.072,0.018,0.19,3.507,4.096,4.498,3.934,1.857,1.609,1.701,1.632,-0.158,-0.877,-0.428,0.037,3.033,3.166,3.541,2.996
VALMONT INDUSTRIES,"Valmont Industries, Inc.",3233,3333,3762,1083,1194,1174,11364,1946,,USD,2.767,2.895,3.502,4.345,6.76,6.6,9.23,11.77,2.763,2.959,3.447,3.557,0.154,0.141,0.196,0.251,1.607,1.751,2.034,1.915,1.157,1.208,1.414,1.642,-0.168,-0.104,-0.417,-0.132,1.922,1.936,2.361,2.513
AVALARA,,1972,1359,2425,722,497,817,4465,2004,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRG ENERGY,"NRG Energy, Inc.",1892,1798,1522,701,647,553,6603,1992,,USD,9.821,9.093,26.989,31.543,16.94,02.08,8.93,,12.531,14.902,23.182,29.146,4.438,0.51,2.187,1.221,10.853,13.222,19.582,25.318,1.678,1.68,3.6,3.828,0.556,-0.494,-3.039,-0.332,7.461,10.371,11.566,11.804
HEALTHCARE REALTY TRUST,Healthcare Realty Trust Incorporated,3484,3799,2886,1163,1139,942,583,1992,1993,USD,0.47,0.5,0.535,,0.29,0.52,0.45,,3.564,3.812,4.259,,0.039,0.072,0.067,,1.664,1.864,2.074,,1.9,1.948,2.185,,-0.419,-0.555,-0.562,,3.314,3.551,3.986,
CIENA CORPORATION,Ciena Corporation,1700,2152,2180,652,696,735,8079,1992,1997,USD,3.572,3.532,3.621,3.633,1.63,2.34,3.22,01.01,3.893,4.181,4.865,05.07,0.253,0.361,0.5,0.153,1.721,1.671,1.845,2.357,2.173,2.51,03.02,2.713,0.024,-0.22,-0.091,-0.101,2.853,3.186,3.69,3.774
